comment,label
hàng đẹp vừa giá tiền nhưng k biết bên trong gối hạt vậy,0
chất_lượng sản_phẩm rất kémshop giao hàng đã qua sử_dụng ko hộp vỏ cáu bẩnđáy gỉ sét ko dám dùng luôn đã hoàn hàng nhưng shopee giải_quyết chậm lắm luôn kêu hoàn tiền mãi ko thấy hàng đã gửi trả từ thủa mua hàng shopee đc_cái rẻ nhưng gặp phải hàng lỗi chán thôi rồi,1
máy êm dùng tốt k bit cách sử_dụng nhiệt_tình hướng_dẫn vote 5 sao,0
tiền_nào_của_đó giao đôi giầy hai hãng khác nhau nhìn cười muốn hộc máu,1
cứng quá,1
thời_gian giao hàng rất nhanh của em bị nhầm thành got7 nha mong rút kinh_nghiệm lần sau ạ,1
mua gần chục đôi giao hàng lỗi gọi ko trả_lời thứ mất_dạy âm_binh   làm_ăn đéo lương_tâm,1
thời_gian giao hàng rất nhanh nhân_viên giao hàng chụp ảnh lúc nhận hàng ko hỏi ý_kiến nên ko vui lắm hàng sạc được nình thường,0
ko thích chất_lượng sản_phẩm rất kém,1
chất_lượng sản_phẩm tuyệt_vời rất phù_hợp giá tiền sẽ tiếp_tục ủng_hộ,0
bán hàng tư_vấn dễ_thương lần mua cũng có quà 3 thanks ủng_hộ dài_dài,0
chữ đọc được chữ không thấy                                           ,1
đóng_gói sản_phẩm kém giao hàng ko đúng màu như yêu_cầu,1
không đúng sản_phẩm,1
rất ưng chất_lượng sản_phẩm tuyệt_vời,0
chất_lượng âm_thanh kém hỏng sau 3 ngày sử_dụng nếu k đổi hoặc hoàn_trả tôi mong mọi người k nên chọn sp,1
sản_phẩm hộp bì trầy_trụa đã từng bị khui từng mua thì_có bọc plastic bên ngoài đằng hàng của k bọc cả nắp hộp bị tháo_gỡ nhăn_nhúm lại,1
nhìn như đồ fake mua 1k nên k phàn_nàn,1
bán hàng không nhiệt_tình,1
vì_vậy nhưng tờ hướng_dẫn sử_dụng bằng tiếng nhật nên không biết nấu thế_nào hàng giống hìnhchưa sử_dụng nên cũng chưa biết chất_lượng thế_nào gói hàng cẩn_thận,1
quạt đẹp mát thanks,0
thời_gian giao hàng rất nhanh dùng được,0
sách dày_dặn màu in đẹp tuy_nhiên có 1_vài chỗ lỗi nhưng đã đc in dán nội_dung đúng lên ko bị lộ mẹ nên mua nhé,0
mì đợt hơi bị nát nhìn shipper quăng_lên_quăng xuống cái hộp thấy xót j,1
đơn_giản để thương,0
minh da nhan duoc sach giao nham hom_truoc cung voi lan giao bo combo nay roichuc buon ban nhieu thanh cong nhe,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn phục_vụ rất tốt sản_phẩm quá đẹp luôn thích lắm luôn đúng hàng hiệu quá chất luôn chị_em mua_sắm đồng_hồ yên_tâm mua ở nha,0
chất_lượng sản_phẩm tuyệt_vời chị chỉ very dễ_thương luôn sản_phẩm ngon chất_lượng vừa ăn hết đặt tiếp rồi 3,0
sợ mặc chật nên mua size 90 dù mới 9 tháng cơ_mà vừa chiều ngangchiều dài thừa mặc nên nhìn buồn_cười nên thôi không có hình minh_họa đk chất ổn hàng có túi jip,0
tốt dễ dùng,0
nhiệt_tìnhphục_vụ tốt chu_đáo gói hàng kĩcó hóa_đơn hướng_dẫn rõ_ràng  triệu like,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền,0
thật_sự ko hài_lòng về chất_lượng sản_phẩm lắm vì stiker ko đc cắt trc nên ko bóc đc vì lỡ mua rồi nên phải dùng kéo để cắt tuy_nhiên độ bám của keo rất tốt chưa thấy dấu_hiệu bong tróc,1
chất_lượng tuyệt_vời đonhs gói sản_phẩm chắc_chắn  dùng ok rất đáng tiền,0
đóng_gói không kĩnhận hàng sữa_tắm chảy ra nhiều,1
date xa bịch sữa bị rách ở mép không biêta do vận_chuyển hay do gửi hành đã bị như_vậy,1
đóng_gói sản_phẩm rất đẹp chắc_chắn phục_vụ rất tốt giá_thành cũng rẻ chất_lượng chưa dùng nên chưa biết,0
cực đẹp,0
thời_gian giao hàng rất nhan đóng_gói sản_phẩm rất đẹp chắc_chắn phục_vụ rất tốt,0
thiết_kế khá đẹp,0
vẫn tin_tưởng hàng của viện khoa_học nhất chất_lượng tuyệt_vời giao hàng nhanh,0
 ngoài_ra 44 bé tí mẫu_mã xấu ko chuẩn size,1
gói kĩ   giao hàng nhanh   sách cũng rẻ nữa    tks nha,0
rất hài_lòng sp tốt lại rất nhiệt_tình,0
đã mua khá ưng so giá tiền mùi cuối cục kì_thích,0
vì khách quen của lâu r nên ko cần bàn về chất_lượng nữa hehe sản_phẩm rất ok giao hàng nhanh nhân_viên tư_vấn rât nhiệt_tình nha,0
giao thiếu hàng kém chất_lượng,1
đẹp bé mặc rất đáng yêu,0
nhiệt_kế bị hỏng,1
dùng rất tít mua về chồng_chồng sướng quá hihi,0
phục_vụ rất kém giao hàng thiếu hỏi lại được trả_lời giao đủ giao đủ hay không kiểm kho lại biết có dư hay không người mua lầm chứ người bán không bao_giờ lầm làm_ăn không uy_tín,1
thun quá nhỏ,1
chất_lượng sản_phẩm tuyệt_vời phục_vụ rất tốt tư_vấn rất nhiệt_tình rất đáng tiền lần đầu_tiên mua giày qua mạng nhưng rất hài_lòng cảm_ơn sẽ ủng_hộ nhiều mọi ng nên mua nhé,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn tập phê lắm,0
bánh to tròn múp_míp 3 ăn đã lắm hehe 3 được tặng kèm gói bánh đâyyy 3 gói bánh tặng ăn vui mồm mỗi_tội hơi cứng,0
mới giao nút chai dầu_gội đã bị gãy chất_lượng sản_phẩm kém,1
sản_phẩm đẹp  vừa tiền  ,0
co tui mau_den mau nay ko aminh_muon doi sang mau den co duoc ko,0
max tuyệt,0
ngũ_cốc khá thơm dễ uống giao hàng nhanh,0
dây đẹp chỉnh không đc quá thất_vọng,1
bằng giá tiền của máy trước muanhưng máy yếu hút đau k êm,1
ap 5 xa doc binh_kieu huyen thap muoi tinh dong thap chi oi dao hang thieu ma con lay tien du nua ma e dt ko bat may qua chat ko mua do tren sen do nua qua chi oi lam an gi ky qua chi oi,1
bánh ngon chủ tu_van nhiệt_tinh bán hàng rất có tâm se ung hộ,0
cực thích nhaaaaaaaaaaa,0
ngon rất to cảm_thấy sốt hơi ngọt chút 5 sao,0
từ thay_đổi hãng vận_chuyển thời_gian giao hàng quá lâu hãng giao hàng nhanh hơn ninja,1
màu vàng nhah bong tróc quá,1
sản_phẩm hong tốt 1 hộp 15 gói trong hết 4 gói hk có trà trong rồi làm_ăn theo kiểu lừa_đảo người mua,1
giao hàng rất nhanh   đóng_gói sản_phẩm kĩ   rất vừa_ý màu ra rất đều đẹp,0
ko có mẫu nàygiao ko đúng mẫu còn chấp_nhận đượcnhưng bị thiếu 1 chiếc đồng_hồ dây lắcrút kinh_nghiệm từ những lần mở cục hàng nên có clip ghi lại,1
sp tốt đóng_gói chắc_chắn,0
 sản_phẩm lỗi tk bán nó nói đéo phải hàng nó nên hk nhận lạicái tem dán lại bán tao rồi sủa như chó vậy tk bắc_kì,1
đóng_gói sản_phẩm rất đẹp chắc_chắn như nó cứ bị lung_lay hoài,0
 thất_vọng vì bìa sách không như hình của tiki giao bán lúc đầu định mua quyển cũng chỉ vì bìa nó lung_linh quá không_thể gọi hài_lòng cũng không_thể nói thất_vọng hoàn_toàn đc nhưng nội_dung truyện hay,1
ảnh đẹp lắm ơi,0
mua hoài mua hoài sắp hết xèn ròi,1
tiền_nào_của_nấy thật,1
hàng hỏng không sạc được không nên mua,1
   thề  hịn v ra ý,0
rất hài_lòng về sản_phẩm giá_cả phải_chăngchất_lượng sản_phẩm tốt,0
haha mua quài chỉ muốn nói khen quài cũng kì nhưng_mà   chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền thời_gian giao hàng rất nhanh,0
chất_lượng sản_phẩm tuyệt_vời son mịn nhưng đánh lên không như màu trên ảnh,0
lên k đúng màu  nản luôn   đóng_gói sản_phẩm rất đẹp chắc_chắn,1
tiện_dụng phần mắt nhỏ quá phải tự thiết_kế lại nạ khá rộng,0
chất_lượng sản_phẩm tuyệt_vời phục_vụ rất tốt rất đáng tiền đóng_gói bị mấy cái khác đè_bẹp may_mà sản_phẩm ko sao,0
giày dặn màu đỏ giao màu hồng,1
sản_phẩm giống ảnh đẹp nhưng mới mua nên cần thời_gian theo_dõi thêm,0
 chất_lượng sản_phẩm kém sạc cả đêmiem có ti_bin,1
giao hang_cham,1
ưu_tú uy_tín chất_lượng kèm theo khuyến_mãi khách yêu,0
nhân bánh nhìn dày_dặn hơn so nhiều nơi khác,0
 như cặc,1
đồng_ý tiền_nào_của_đó nhưng rõ_ràng túi trong hình không phải túi bên ship qua tất_cả chi_tiết đều đầy_đủ nhưng size nhỏ hơn rất nhiều đáng tiền nhưng buôn_bán k trung_thực,1
chất_lượng sản_phẩm tuyệt_vời cảm_ơn,0
quá tệ không đáng mua,1
sai_móc thời_gian quá lâu,1
sản_phẩm ko giốg như hìh qá_tệ,1
chất_liệu đểu mẫu_mã xấu không như trên hình lừa_gạt,1
nhỏ_gọn đa_năng rất đáng tiền,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn có hiệu_quả,0
ko biết check đúng không kiểm_tra trên web hạn sản_xuất năm 2010 giá_cả chấp_nhận được giá_cả chấp_nhận được,0
chủ thoải_mái giao hàng nhanh,0
tuyệt_vời ông mặt_trời,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn chất vải mềm mượt lần sau m lại ghé nha,0
1000 sao chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn chủ dễ_thương ủng_hộ 1000 lần hêhhe,0
voucher như mô_tả hài_lòng,0
đưa thiếu đồ_đồ cũng được nhưng tính tổng tiền rồi nhưng trong hộp đồ thiếu món,1
sản_phẩm ọp_ẹp chưa dùng đã long cả đế ấm rồi,1
chất dày dai ổn điểm trừ một_chút có vết bẩn trên thảm 5,1
 chất_lượng của sản_phẩm phù_hợp giá tiền có_thể hãng cần nghiên_cứu sao cục sạc ít nóng trong quá_trình sạc vì hiện_nay sạc cục sạc rất nóng nên tâm_lý người sử_dụng sợ nó cháy nổ,1
chất_lượng sản_phẩm tuyệt_vời nhưng giao hàng rất chậm,1
thời_gian giao hàng rất nhanh so giá như_vậy máy hút tạm được còn thời_gian sử_dụng hi_vọng được lâu,0
sản_phẩm đẹp sang đóng_gói cẩn_thận rất đáng tiền,0
dùng loại đất_sét của vedette rất thích nên nghĩ loại cũng tốt nên mua hẳn hũ to dùng được 2 3 lần mụn li_ti đầy trên trán mụn đỏ ở 2 bên má trước sau dùng thấy cũng không khác nhau cả cấp ẩm cực_kì tệ,1
69k quá rẻ cuộc tình,0
vớ rất đẹp,0
hàng nguyên seal k có phải chê cả,0
tẩy da_chết mùi trà_xanh sảng_khoái lắm luôn sản_phẩm y_như hình hàng được đóng_gói kỹ có điểm trừ do chuyển_khoản ở căn_hộ nên giao hàng người giao không gọi báo đã giao cứ đưa lễ_tân nếu bảo_vệ không nói chắc cũng không biết hàng đến rồi,0
giao k dung mau da_dat,1
chưa sử_dụng nhưng giao đúng hàng giá quá rẻ,0
ngoài việc chạy theo ăn_theo cũng 1 sở_trường của samsung,1
ban may sinh to thi kg sai duoc bi hu cong dem_giao doi 1 san_pham minh thich den nhan duoc that vong can nhieu,1
mới dùng dị_ứng k hợp,1
 nhìn_chung quảng_cáo tã cộng 6 miếng vậy_mà giao hàng lại bịch thường k cộng thêm ji cả m k thấy hài_lòng,1
đặt 1 bộ nhưng cuối_cùng tiki chỉ giao 1 cuốn tập 2 cuốn tập 1 lại không có đã gửi mail để tiki hỗ_trợ về vấn_đề nhưng không có hồi_đáp mong ti_ki xem_xét lại đơn hàng 839377271,1
đóng_gói sản_phẩm hơi bị xấu chút nhưng chắc do bên vận_chuyển sản_phẩm quá ưng,0
dùng ok nhưng hơi dầy d,0
quá thông_minh 1 like to samsung,0
đóng_gói sản_phẩm rất đẹp chắc_chắn k có đếm số tờnhưng ngĩ cũng có sai_sót trong khâu đóng_gói nên mọi ng cũng đừng câu_nệ 1020 tờ qá giá vậy cũng phải_chăng rồi,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn phục_vụ rất tốt rất đáng tiền rất đáng tiền thời_gian giao hàng rất nhanh rất ưng a,0
chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh hộp bị móp ở đáy chắc do vận_chuyển ko sao ăn ngon dc,0
ăn ngon lắm ạ,0
chất_lượng tốt bột mịn giao hàng nhanh nhưng giá quá mắc so những trang bán hàng khác tiki có nhiều sản_phẩm bán rẻ nhưng nhiều sản_phẩm giá cũng trên trời quá tiêu_biểu sản_phẩm không hài_lòng sẽ không mua lần thứ hai,1
 ctkm mua note 9 tặng tv ảo quá tưởng mua được mua rồi mới biết số_lượng có hạng chút bạn may_mắn lần sau cái chắc,1
nhìn cực tệ k như tưởng_tượng nhìn hình chất_lượng sản_phẩm rất kém chất_lượng sản_phẩm rất kém,1
chất vải đẹp y_hình phục_vụ rất tốt,0
trông cũng đc vừa giá tiền sale có_điều cứ đeo vài tiếng lại sai 5 phút k hiểu,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất chắc_chắn,0
rất nhiệt_tình thời_gian giao hàng rất nhanh đóng_gói sản_phẩm đẹp chắc_chắn son auth mong ngày_càng phát_triển hơn_nữa mk sẽ tin_tưởng ủng_hộ,0
ko bk tả đầu cọ như_thế_nào chỉ có_thể ns sờ rất sướng máy đc đóng_gói cẩn_thận nhìn sang choảnh da sau dùng cũng láng mịn hơn chút có_khi dùng lâu hơn da sẽ đẹp ,0
như tựa 3 hộp không ly đề_nghị trả gấp      ,1
nồi đun lâu sôi,1
sản_phẩm rất tốt rất vừa_ý,0
hơi thất_vọng,1
giá tốt gói hàng cẩn_thận lắm ạ đã theo_dõi,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền không có để bàn_cãi,0
kẹo không đúng vị như kẹo mọi lần hay ăn kẹo dễ bị vỡ vụn,1
4s ỏ nhà có 2 con lên rồi có thấy bị j đâuchạy ngon           ,0
đặt_hàng 2h sau đã có nhanh nhưng nay mới mở bịch thứ 2 ra dùng thấy tã bịch mẫu khác lật lại dòm date hỡi_ôi bịch đến 2020 mới hết datecòn 2 bịch kia mẫu cũ đã hết date từ t32018 rồi bề_ngoài giống nhau nhưng bên trong khác mẫu tã nay xin phép sửa lại đánh_giá,1
chất_lượng sản_phẩm kém ko co pin kem theo như trong măt hang đa ghi_chu,1
đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh đọc tin nhắn nhưng ko trả_lời nhưng dù_sao sao sđt vẫn giao đc hàng ban_đầu mở ra hơi mùi cao_su nhưng bỏ ra ngoài cũng bớt nhẹ chân nên vẫn 5 sao,0
chất chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn,0
chất_lượng sản_phẩm tạm được giao hàng chậm quá,1
gui sai mau,1
card còn khá mới xài ngon,0
 chất_lượng sản_phẩm rất kém rất không đáng tiền,1
đặt hộ hàng_xóm 3 chiếc nồi theo thật_sự ko phải buôn_bán nhưng_mà bây_giờ vỡ như_vậy biết phải làm_sao sẽ chịu trách_nhiệm vụ 1 vết vỡ 1 vết rạn_nứt thật_sự,1
sản_phẩm ngon đóng_gói sạch_sẽ,0
chất_lượng sản_phẩm tuyệt_vời mùi thơm rất dễ_chịu yêu luôn từ lần đầu_tiên đóng_gói sản_phẩm rất đẹp chắc_chắn phục_vụ rất tốt cám_ơn,0
chất_lượng sản_phẩmtuyệt_vời,0
giao hàng chảy ra ngoài hết 12 hủ bánh_tráng khô cứng tỏi cháy khét k ủng_hộ nữa chất_lượng sản_phẩm rất kém,1
chất_lượng sản_phẩm tuyệt_vờiđóng_gói sản_phẩm rất đẹp chắc_chắn có 1 lỗi nhỏ nhưng k sao ạ 3 sẽ ủng_hộ lâu_dài 3,0
dùng được ba hôm xập nguồn ko nạp được nữa,1
có rất nhiều hạt bị hư vì_thế bị đắng rất không hài_lòng sản_phẩm,1
chất_lượng sản_phẩm tạm được thời_gian giao hàng rất nhanh,0
nhận hàng về nhìn màu_sắc đẹp nhưng hơi mỏng lau có hiện_tượng xổ lông,0
 thật_sự k biết có phải riêng quyển của k nhưng_mà mới vừa nhận hàng xongvừa mở ra mấy trang giấy rơi ra hết luônchắc do gáy đóng k chắc,1
thấy mã_vạch 69 đầu k biết phải hàng trung_quốc k,1
đặt màu giao màu khác,1
dễ gây nghiện dù_rằng nó dẻo quá quy_định làm răng hơi thốn,0
đồng_hồ như trên hình nhìn ngoài thực_tế đẹp,0
đàn đẹp nhưng dễ tróc sơn âm_thanh tốt,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn giày rất đẹp êm,0
đặt sz 36 ma giao 39 không chịu đổi lại hàng khách chất chất_lượng sản_phẩm rất kém phục_vụ rất kém,1
bút chuẩn chính hãng mong về nhiều màu hơn_nữa,0
đóng_gói sản_phẩm rất đẹp chắc_chắn mùi rất ngọt lúc mới gội xong sẽ cảm_thấy tóc hơi khô nhưng lúc sau sẽ thấy tóc rất mềm nếu mua kèm dầu xã chắc dùng sẽ thích hơn còn về giảm rụng phải có thêm thời_gian để xem thế_nào nhé,0
không đủ 300 tờ như bao_bì quảng_cáo chắc được khoảng 200 tờ thôi không mềm lắm nhưng cũng dùng được,1
dẹp tuyet,0
khoen va miêng_dan đêu mong_manh co cai bi gây nưa cac khoen bi_lêch nhưng xoay ko đươc mua vê rôi bo vi chăng xai đươc hôi hân,1
muốn đổi màu salt lấy màu ice hoặc sugar bạn muốn đổi inb shopee nhé,0
giày đẹp lung_linh luôn giá còn thấp hơn mấy khác nữa,0
đóng_gói sản_phẩm rất đẹp chắc_chắn hợp vs giá tiền,0
tư_vấn nhiệt_tình giao hàng nhanh chất_lượng phải dùng thực_tế mới có đánh_giá,0
hạt đậu ăn giống đậu_hà_lan mù_tạt hơn vị quen_thuộc hơn 5,0
mã seri vỏ hộp ko trùng mã seri thân son nghĩa_là vỏ hộp của thỏi khác theo check vỏ hộp hàng auth nhưng mã vỏ hộp khác mã in đáy cây son đúng chúng phải khớp vs nhau cho_nên ko biết đc cây son hàng j nữa,1
xài hết 3 tép thấy không hồng lên đóng_gói sản_phẩm đẹp không hài_lòng cách làm_việc của shipper không gọi giao hàng khách báo lại hệ_thống chuyển hoàn về,1
 trước vẫn xài loại white_perfect nhưng mua ở cửa_hàng kiềm_nghĩa xài thấy rất ok dùng thử 12 ngày nữa thấy không ổn nên ngưng hẳn nhưng mới dùng được 23 ngày thấy da đen sạm hẳn bắt nắng nhiều làm hơi hoang_mang như_vậy thấy tiki có đợt sale mua về vì thấy sp mẫu_mã giống chắc_chắn phải bỏ phí lọ kem phí quá ,1
 hơn_nữa không có cách kiểm_tra được vì theo size us uk hay theo cm đều không chắc_chắn 100% vì mỗi cái quy_đổi khác nhau giao bị xé như_vầy nói_chung hỏi trả_lời rất chậm dù bảo sẽ đổi size lớn hơn nếu mang chật mất 1 tuần vẫn không đưa được cái địa_chỉ hơn_nữa order size 39,1
chất_lượng lắp_ráp cực_kỳ tệ ọp ẹp remote hoạt_động sai quá tệ,1
hp đáng mua nhất giá vừa_phải hàng đã cải_thiện chất_lượng khá nhiều tránh asus ra nhé,0
cả v10 g4 của lg chưa thật ngon đc lg chưa có 1 quan_điểm phát_triển sp ổn_định lâu_dài ,1
ám vàng ở thanh điều_hướngâm_thanh quay video khá tệcamera dởm chuyển từ 1x sang 2x bị đơ khoảng 1s cùng lúc màu vàng lúc màu xanh nản,1
đóng_gói sản_phẩm rất kém máy rất nóng chất_lượng sản_phẩm rất kém nhắn_tin hỏi lại k trả_lời thái_độ phục_vụ k tốt,1
 mobilefone k nên động tốt hơn kiểm_tra dung_lượng không dc lại còn cắt 3g giửa_chừng ktra ấn phím 5 đúng lừa_đảo nói_chung chất_lượng sản_phẩm rất kém rất không đáng tiền,1
lần đầu mua thấy đẹp mua thêm cái sau cũng loại quần vừa rộng vừa xấu   chào tạm_biệt,1
đã mua về dùng được 1 tuần chưa lỗi_lầm dùng thấy khá ok rất đáng tiền 5 ủng_hộ,0
đóng_gói sản_phẩm rất đẹp chắc_chắn phục_vụ rất tốt thời_gian giao hàng rất nhah mặt hơi to,0
mang thích lắm nhé rất đáng tiền,0
đóng_gói sản_phẩm rất đẹp chắc_chắn phục_vụ rất tốt thời_gian giao hàng rất nhanhdung mau nay k bi ngưa như mau xanh chăc la da m thuôc loai cưc_ky nhay cam,0
hơi thất_vọng cuốn sách được giao bị trầy_xước ở ngoài bìa bìa k đc lại trông k đc mới,1
thảm bé ko phải 3m như nói sản_phẩm thuộc hàng 7075 k ở khác,1
nghe có_vẻ ổn hihi chúc đắt hàng,0
xài ok ak,0
xuất_sắccccc vô_cùng hài_lòng đóng_gói chắc_chắn giao hàng cực nhanh,0
