Index,Text,True Label,Predicted Label
756,bận rất dễ_thương nhưng_mà phần keo dính sau lưng hơi dở chưa kịp mặc đã bị sứt ra rồi,0,1
924,chất_lượng sản_phẩm tương_đối tốt sợ của trung_quốc đeo bị,1,0
951,gà trộn ko được đều lắm nhưng cũng ok so tầm giá,0,1
1050,hảng sản_xuất hay dùng chiêu_bài tiện_lợi tiến_bộ sành_điệu v v   tất_cả chỉ mục_đích duy_nhất moi tiền người dùng còn những chi_tiết kỹ_thuật chưa khắc_phục được cứ lờ thôi ,1,0
1419,sản_phẩm chất_lượng tốt nhưng giao hàng chậm quá,0,1
1518,chất_lượng sản_phẩm ko_thể so thương_hiệu lớn nhưng xét về giá quá tốt ko hài_lòng 1 điều tã quần tặng kèm phải có size bằng size khách_hàng mua hàng tặng quá nhỏ ko xài dc cũng như_ko,0,1
2258,có_lẽ sản_phẩm không hài_lòng lắm vân chuyển nhanh giao hàng vui_vẻ,1,0
2695,sản_phẩm đóng_gói không hộp bao_bì sơ_sài,1,0
4290,van chuyen bi vo de chan,1,0
4480,sản_phẩm đã kích_hoạt bảo_hành shopee mall chẳng tin_tưởng được,1,0
4533, nhìn riết cũng bình_thường ko có đặc_sắc nhiều kiểu như hồi thiết_kế cứ na_ná nhau,1,0
4860,cần lưu_ý bản dựng đẹp tuyệt_vời còn bản chính_thức ,1,0
4991,đóng_gói chắc_chắn gọn_nhẹ nhưng bàn_phím không hề có đèn led,0,1
6009,có camera trước luôn đóng_gói sản_phẩm rất đẹp,0,1
6149,đắt,1,0
6751,thời_gian giao hàng rất nhanh đặt trắng gửi đen làm_việc không chuyên_nghiệp cả,0,1
6836,hp đáng mua nhất giá vừa_phải hàng đã cải_thiện chất_lượng khá nhiều tránh asus ra nhé,1,0
7165,sản_phẩm dùng ok lưu_ý nhỏ phần móc tay bằng chun bị sờn chỉ sử_dụng ngay lần đầu,0,1
7585,chưa dùng ko biết,1,0
7757,tiền_nào_của_nấy,0,1
8250,chất_lượng sản_phẩm rất kém phục_vụ rất tốt,0,1
8956,đề_nghị bán hàng có tâm 1_tí,1,0
9194,ok nhung ban noi tang doi vo ma ko co,0,1
9454,sấy hơi lâu nhưng giá chấp_nhận được,1,0
9483,hàng dùng tạm được,1,0
9683,vừa túi_tiền,0,1
9774, nhin sao don chat_luog,1,0
10642, thơm nhẹ nhanh bay mùi xí,0,1
10738,giao hàng nhanh sản_phẩm ko được tốt như mong_đợi,0,1
10831,sản_phẩm tạm được ko ưng lắm vì độ dài chỉ đến đầu_gối,1,0
11007,cũg đk hoi phòg phành k an_toàn lém n dùg cũg đk,1,0
11530,trong dòng máy nhật_bản panasonic có loa ngoài lớn nhất chứ ko phải nhờ up lên 4 0 đã từng dùng rất nhiều loại máy của nhật nhưng ko có ấn_tượng tốt em do nó wá kén phần_mềm mới test thử angry_birds bản_gốc keyboards pro hay báo lỗi calendar can not start cứ tưởng chỉ có 102p bị dè p04d cũng bị luôn thấy rủi_ro quá nên thôi vừa xài vừa bán điện_thoại nhật lời chẳng bao_nhiêu kiếm người chơi chung vui vậy_mà,1,0
11854,đắt,1,0
12073,cục sạc cute lạc lối mỗi_tội nặng như cục gạch,0,1
12787,đóng_gói hàng cẩn_thận sản_phẩm ít bọt rửa xong thấy da khô căng nên dùng thêm xịt khoáng để dưỡng_ẩm,0,1
13016,ấn_tượng đầu_tiên chai 10ml nên rất nhỏ tuy_nhiên thiết_kế màu xanh đậm nhìn rất thiên_nhiên tiki gói hàng kĩ nhưng serum vẫn thoát ra mùi trà rất thơm điều làm tin chất_lượng sản_phẩm nhất dùng thêm loại mặt_nạ tự làm mùi hương dễ_chịu diệt khuẩn hơn so giá đã giảm giá vậy ổn không quá đắt nhưng thực_sự chưa rẻ đã giảm gần 50% mỗi lần dùng hay bị tràn ra miệng chai phải lấy cẩn_thận mới tiết_kiệm được,1,0
13133,đã nhận được hàng nghe gọi không ổn tí chỉ nghe thấy lèo_xèo qua_loa,1,0
13870,nồng quá nên không sài được,1,0
14011,son đẹp mịn môi đóng_gói chắc nhưng mùi son nồng bị đổ mồ_hôi bị hai vết sướt dài,0,1
14084,chất_lượng sản_phẩm tuyệt_vời giao hàg chậm,0,1
14156,giao hàng nhanh sản_phẩm ko được tốt như mong_đợi,0,1
14379,chất_lượng hợp giá tiền có_điều lúc hỏi mua hàng check tn rất nhanh đến nhận hàng ko vừa nt báo đổi trực_tuyến shoppe vẫn ko check tn dù đã alo báo rồi vẫn ko tl,1,0
14674,thời_gian giao hàng rất nhanh rất không đáng tiềndùng mấy hôm lại hỏng nhếch,1,0
14827,moi co bao_nhiu ngay ma phai mau,1,0
14895,giao hàng nhanh quá 1 ngày đã đến nơi,0,1
15459,đắt,1,0
15932,giày cũng đẹp tuy_nhiên bạn lưu_ý tiền_nào_của_nấy nha da cứng nhăn không phục_hồi nha,1,0
16096,mua bông tẩy_trang nhưng lại gởi miếng thấm tonershop giải_quyết giúp nhé,1,0
16727,thời_gian giao hàng rất nhanh rất không đáng tiềndùng mấy hôm lại hỏng nhếch,1,0
16931,giao hàng nhanh sản_phẩm ko được tốt như mong_đợi,0,1
17168,hang tạm dc,1,0
17211,thời_gian giao hàng rất nhanhsản_phẩm hơi nhỏchưa đc hài_lòng lắm,0,1
17545,chất_lượng sản_phẩm tạm được giao hàng hơi lâu máy yếu quá khói ít k thơm mấy,1,0
17821,giao sai hàng đóng_gói sản_phẩm rất đẹp chắc_chắn,0,1
18556,thời_gian giao hàng rất nhanh dùng ngứa vs lên mụn,1,0
19469, tạm chấp_nhận được,1,0
19480,nhìn ok dùng mỗi ngày phải lấy lại 1 lần ,0,1
19670,giao thiếu 5 miếng cách giải_quyết chắc_chắn sẽ bù đơn hàng sau nhưng không có nhu_cầu mong bù bằng card điện_thoại giúp sẽ sửa lại đánh_giá thành 5 sao nếu sau cảm_ơn do chat không thấy xem nên phải nhắn_nhủ phần đánh_giá,1,0
19677,chất_lượng sản_phẩm tuyệt_vời shopee giao hàng rất chậm,0,1
19830,sản_phẩm không ròn lên rất cứng,0,1
19997,36000mah sạc có 2h đã hết sạch kg như mong_đợi  giao hàng nhanh ok,0,1
20522,san_pham hoi_nhan,0,1
20860,mỗi sp nescafe đều có để tặng ly giữ nhiệt mua hóa_đơn 130k nhận hàng ko thấy quà tặng đọc conment mới thấy tiki nhắn đã hết sp tặng kèm hy_vọng lần sau tiki sẽ khắc_phục tình_trạng thanks,1,0
21105,mẫu_mã bên ngoài tạm ổn con chất lương chua dùng nên cũng biêt được,1,0
21931,sản_phẩm hơi cũ bị xước,0,1
22301,tiền_nào_của_nấy,0,1
22966,check mã_vạch rồi chuẩn,0,1
22995,tồi,1,0
22998,cái viên tròn_tròn không phải bằng sắt đóng_gói chắc_chắn nếu bỏ thanh ra lắp rất chắc nhưng_mà thật lắc thật đau,0,1
23012,sản_phẩm chắc_chắn nhưng k bóng bằng trong hình,0,1
23033,son mau đo hông,0,1
23036,loan ơi anh yêu em,0,1
23055,mũ xinh ko có quai nhé,0,1
23067,minh dat 20 cay giao 19 cay,0,1
23086,núm ti dốc ngược xuống thấy phun thành tia ko biết bé sơ_sinh bú có bị sặc ko,0,1
23116,chất kem mỏng mịn nhẹ mặt m đánh cả chiều ko thấy xg tông nh mặt m k trắng dùng 52 vẫn thấy hơi tối mặt có_lẽ do chất kem mỏng nên k lên tông mấy chị_e thích sáng dù da k trắng nên lấy tông 51 nha,1,0
23134,không đẹp chắc_chắn 9tr mua đồng_hồ nhật hay tissot đeo vẫn sướng hơn,1,0
23167,hàng giả chắc_chắn luôn đã mua so_sánh,1,0
23172,chúng_ta lấy ra nhiều tiền để rồi vừa xây nhà_máy hạt_nhân làm đường_sắt cao_tốc làm trung_tâm hành_chính,1,0
23192,trang dính chặt nhau gỡ ra rách sách không được bảo_quản tốt,1,0
23224,balô to hợp vs những bé từ 5t trở lên,0,1
23227,giày,0,1
23321,chất_lượng sản_phẩm tạm dc khong nhu minh_nghi đóng_gói sản_phẩm rất đẹp chắc_chắn,0,1
23342,đóng_gói sản_phẩm rất đẹp chắc_chắn nhưng_mà lịch ngày không tự_động chạy phải tự chỉnh có phải lỗi không vậy,0,1
23381,chả hiểu mọi người cần pin dùng lâu đến như_thế_nào mới đủ vì ngày hai ngày hay 1 tuần cũng vẫn cứ phải sạc dùng aw từ sáng đến 8h tối vẫn còn 70% pin nói_chung khá hài_lòng những aw mang lại,0,1
23386,hàng 104k nên chất_lượng cũng ko đòi_hỏi hơn,1,0
23406,vali tạm ổn giá tuy_nhiên rõ_ràng ghi tặng bình nc k có,1,0
23440,nói tặng 2 đôi tất không thấy cả,1,0
23445,giao hàng tầm 3 4 ngày vẽ lên mắt khoảng tầm 1 tiếng sau vô_tình lấy tay đụng nhẹ nó dính ngay tay rồi nói_chung khá dễ trôi mồ_hôi ra có nguy_cơ lem xuống mí bọng mắt như gấu_trúc nói_chung giá_cả vậy ok có xài tạm cũng đc nó vẫn hơn vẽ aliner bằng chì,0,1
23448, khớp nối điên_rồ nhưng tôi thấy ko ổn lắm chỗ hở ở khớp nối usbc nữa tuyệt_vời ngoài_ra,1,0
23470,nhược màu_sắc ko giống hình lắm có_thể do từng đợt hàng khác nhau túi hàng gửi đến đã bị rách tạ phải buộc chắc ko sẽ bị tuột ưu_thanh tạ tương_đối đẹp ko sứt_mẻ đều 5 vì tinh_thần làm_việc sẵn_sàng trả hàng của rất thích mặc_dù ko có nhu_cầu đổi_trả 3,0,1
23492,tôi yêu thích tác_giả diệp lạc vô_tâm sau hai tác_phẩm mãi_mãi bao_xa ngủ cùng sói hãy chờ em lớn lên nhé nên rất mong_chờ đọc tác_phẩm tuy_nhiên có_vẻ câu_chuyện hơi phi lôgic nhàm_chán khiến tôi phải bỏ_dở nhiều đoạn tôi cảm_thấy mẫu_thuẫn của hai nhân_vật không đáng có_thể giải_quyết được nhưng tác_giả tích_tụ lại đẩy nó lên cao_trào để rồi dẫn đến hận_thù chia_tay   nhưng đến cuối_cùng vẫn cái kết he lối viết của tác_giả vẫn dày_đặc những cảnh h,1,0
23495,xấukém nhưng mọi người tranh nhau mua làm kỉ_niệm ,1,0
23500,mới dùng 1 lần nhưng thấy khô_thoáng không có mùi,0,1
23505,đê nguyên gia đôla_my đi_đưng qui đôi ra tiên viêt nghe choáng quá,1,0
23508,yêu_cầu màu xanh giao toàn màu đỏ lần sau giao vậy sẽ ko nhận hàng tks,1,0
23511,uổng tín_đồ của iphone,1,0
23536,làm đồ_chơi con thôi đúng ham rẻ lao mua bjo mới thấy xót tiền mua cái ys 10 ổn hơn mn ah,1,0
23569,sản_phẩm chất_lượng rất tốt so giá tôi không hiểu sao họ có_thể làm ra sp chất_lượng giá rẻ như_vậy cho_dù sản_xuất ở đi_nữa,0,1
