comment,label
"Tôi đã đặt mua sản phẩm này. Mất đến 5 ngày để nhận sản phẩm.Lúc kiểm tra,  hộp sản phẩm móp méo và sản phẩm bị trầy bề mặt đáy bàn ủi. Ngay hôm đó, tôi đã gửi 2 yêu cầu đổi trả trên website và không có phản hồi. Sau đó nhiều lần gọi Hotline, mới gặp được nhân viên hỗ trợ và được hỗ trợ đổi sản phẩm khác. Tôi đã theo sát  và thấy sản phẩm đóng gói và sẵn sàng giao hàng từ ngày 17 /10. Vậy mà tới hôm nay tôi vẫn chưa nhận được sản phẩm. Và càng thất vọng hơn khi đã gửi yêu cầu hỏi tại sao lại chưa giao. Vẫn không có phản hồi. Gọi Hotline thì không ai nghe máy, THẬT SỰ THẤT VỌNG VỀ TIKI.",1
Rất ưng  còn rẻ nữa ❤️,0
Shop lừa đảo treo đầu dê bán thịt chó địt mẹ chỉ vì tiền...,1
"""hàng SAM kém lắm hết bảo hành là lăn quay. nhà mua 4 con thì cả 4 đều toi :((""",1
Đóng gói cha chắc chắn sp rất đáng tiền giao hàng nhanh,0
Dở hơn sữa vinamilk thùng vinamilk 48 bịch có 270k này có 24 hộp 240k,1
Hàng rất tốt! Giao hàng cũng lịch sự!,0
Giao hàng không đúng với mô tat hàng gace không có hồng ngoại,1
Shop giao hàng nhanh. Chuột đẹp hơi to với tay mình 1 xíu,0
" Chất lượng sản phẩm tuyệt vời, đẹp, nhưng mặt lớn quá, tay nhỏ đeo k hợp.  Nhỏ hơn là tuyệt vời ^^",0
. không có tên modem không biết đúng 2 . nói chung chất lượng sản phẩm kém  không biết giao hàng có modem trong đơn hàng không ( buồn)   hai anten chỉ có một là thật  thực ra 0 hình ảnh mờ  0 hay 1,1
Chất lượng phù hợp với giá cả. Màu cam in bị lem. Ko biết màu nhuộm có hại cho da Ko ?,1
Hàng chuẩn. Đẹp lắm. Cám ơn sh,0
Đúng là danh bất hư truyền ...,0
. Ko dùng được . Rất yếu,1
Phô mai giao bị chảy cả nước. Lúc nấu thử thì bình thường nhưng  ăn thì nó sai lắm sai  như giả vậy. ,1
